Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
1059,George Thompson,188.0,90.0,Marquette University,1947.0,Brooklyn,New York,1.88,25.46401086464464
1060,Dean Tolson,203.0,86.0,University of Arkansas,1951.0,Kansas City,Missouri,2.03,20.869227595913518
1061,Foots Walker,183.0,83.0,State University of West Georgia,1951.0,Southampton,New York,1.83,24.78425751739377
1062,Bill Walton*,211.0,95.0,"University of California, Los Angeles",1952.0,La Mesa,California,2.11,21.338244873205905
1063,Perry Warbington,188.0,74.0,Georgia Southern University,1952.0,Atlabta,Georgia,1.88,20.937075599818925
1064,Stan Washington,193.0,86.0,University of San Diego,1952.0,Washington,District of Columbia,1.93,23.087868130688072
1065,Scott Wedman,201.0,97.0,University of Colorado,1952.0,Harper,Kansas,2.01,24.009306700329205
1066,Owen Wells,201.0,90.0,University of Detroit Mercy,1950.0,Providence,Rhode Island,2.01,22.276676319893078
1067,Jamaal Wilkes*,198.0,86.0,"University of California, Los Angeles",1953.0,Berkeley,California,1.98,21.93653708805224
1068,Earl Williams,201.0,104.0,Winston-Salem State University,1951.0,Levittown,Pennsylvania,2.01,25.741937080765336
1069,Bobby Wilson,193.0,83.0,West Virginia State University,1926.0,,,1.93,22.28247738194314
1070,Brian Winters,193.0,83.0,University of South Carolina,1952.0,Rockaway,New York,1.93,22.28247738194314
1071,Alvan Adams,206.0,95.0,University of Oklahoma,1954.0,Lawrence,Kansas,2.06,22.38665284192667
